agent.voice.capture_done	Done	Готово
agent.voice.queued	Queued: {0}	В очереди: {0}
agent.voice.queue_full	Recording queue is full. Wait for recognition.	Очередь записей заполнена. Дождись распознавания.
agent.voice.input_failed	Message was not delivered. Please try again.	Реплика не доставлена. Попробуй ещё раз.
agent.voice.text_too_long	Speech exceeds {0} characters. Please send a shorter message.	Реплика длиннее {0} символов. Отправь более короткое сообщение.
agent.voice.waiting_connection	Message saved. Waiting for the agent connection.	Реплика сохранена. Ожидание подключения агента.
